Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),label,conf,hour_voc,date_voc,lat,long,swift,site,land_use,land_cover,vegetation,year,month,day,day_name,month_name,hour
1,Spectrogram 1,1,6.0,6.061054084450007,552.7129769325256,4326.552748680115,Gorilla,0.1737022846937179,13:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,13
1,Spectrogram 1,1,8.523583386093378,8.750854399055243,1136.6653442382812,2393.0740356445312,Gorilla,0.1981683224439621,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
2,Spectrogram 1,1,16.00762551650405,16.234380070120096,1270.0413912534714,2375.8865147829056,Gorilla,0.3221159279346466,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
3,Spectrogram 1,1,18.003277949988842,18.167354721575972,1363.5998219251633,2421.932891011238,Gorilla,0.364354133605957,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
4,Spectrogram 1,1,29.53509284555912,29.775320515036583,1097.3265022039411,2386.63949072361,Gorilla,0.181118294596672,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
5,Spectrogram 1,1,33.47361693531275,33.69895400851965,1247.7824091911316,2442.036867141724,Gorilla,0.2225998640060424,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
6,Spectrogram 1,1,37.70153053477407,37.94046656414866,1066.8342560529709,2512.006238102913,Gorilla,0.1635528057813644,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
7,Spectrogram 1,1,47.05591640621424,47.29587259143591,1191.8939650058746,2487.154453992844,Gorilla,0.2389987856149673,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
8,Spectrogram 1,1,52.09780915081501,52.32945983111858,1302.274689078331,2406.056299805641,Gorilla,0.3276832699775696,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
9,Spectrogram 1,1,55.114641051739454,55.33998431637883,1239.5618855953217,2387.997955083847,Gorilla,0.162818044424057,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
10,Spectrogram 1,1,60.00052369013429,60.22540592774749,0.0,2531.4274430274963,Gorilla,0.357588917016983,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
11,Spectrogram 1,1,68.11838582530618,68.45028516277671,1150.5678296089172,2522.568702697754,Gorilla,0.2359578609466552,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
12,Spectrogram 1,1,76.94156705215573,77.19010056182742,1234.1124564409256,2372.054383158684,Gorilla,0.3249003887176513,14:00:00,2018-12-04,527863,9846646,ARU01,MBONZO,fishing,stream,FP,2018,12,4,Tuesday,December,14
